Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Faraday St-Lygon St (West),6,N/A,2,1,8,1,9,12,56,73,120,215,199,194,162,180,138,95,89,67,39,26,27,9
QVM-Franklin St (North),15,10,3,2,7,7,42,15,29,70,92,134,135,156,184,167,97,91,71,46,31,15,13,22
Elizabeth St-Lonsdale St (South),3,2,6,2,4,N/A,5,17,20,37,68,118,154,183,207,168,153,110,83,38,32,28,9,3
Lincoln-Swanston (W),11,12,1,N/A,N/A,2,6,11,6,34,15,32,43,36,35,37,27,35,25,18,28,5,10,18
Lonsdale St - Elizabeth St (North),2,6,3,1,1,6,15,42,38,45,90,127,135,158,176,166,148,137,82,50,59,44,18,10
Bourke St Bridge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bourke St - Spencer St (North),20,16,15,2,12,24,30,47,57,101,126,160,181,194,242,191,140,144,114,69,67,57,46,29
RMIT Bld 80 - 445 Swanston Street,N/A,N/A,N/A,N/A,1,N/A,N/A,7,14,19,34,61,71,84,102,68,25,24,1,N/A,1,N/A,N/A,N/A
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,6,9,9,4,3,6,16,16,29,65,121,141,182,219,207,246,146,171,103,60,47,43,29,22
380 Elizabeth St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Trobe St (North),27,15,11,13,9,11,32,14,11,15,55,45,69,76,90,90,67,55,83,55,41,44,22,18
231 Bourke St,9,2,7,2,2,20,16,17,24,71,108,168,244,250,256,302,181,155,91,60,42,36,25,20
Royal Pde - Grattan St,5,6,N/A,2,1,N/A,5,15,28,26,36,52,51,63,73,35,22,32,18,9,16,13,11,6
Swanston St - City Square,13,2,5,2,5,7,32,26,44,65,93,127,171,214,213,190,124,111,95,59,32,13,20,14
State Library - New,16,19,17,17,11,8,9,23,40,101,222,317,440,534,689,684,610,547,347,131,91,53,56,18
Total,788,674,503,427,433,785,1632,2039,3348,5404,9552,11724,14090,14719,15177,12997,9707,8399,6212,3925,3028,2283,1502,1068
